Time,Class,Score,Distance (m),Speed (m/s),Latitude,Longitude
2024-09-29 14:47:17,Human face,0.82009363,,,19.376520833333334,72.8226953125
2024-09-29 14:47:17,Human face,0.818931,,,19.376520833333334,72.8226953125
2024-09-29 14:47:17,Human face,0.8311111,,,19.37653125,72.8226953125
2024-09-29 14:47:17,Human face,0.8282903,,,19.376541666666668,72.8226953125
2024-09-29 14:47:18,Human face,0.8299946,,,19.37653125,72.8226953125
2024-09-29 14:47:18,Human face,0.8349007,,,19.376541666666668,72.8226953125
2024-09-29 14:47:18,Human face,0.8253198,,,19.376541666666668,72.8226953125
2024-09-29 14:47:18,Human face,0.8195043,,,19.376552083333333,72.8226953125
2024-09-29 14:47:18,Human face,0.81797284,,,19.376541666666668,72.8226875
2024-09-29 14:47:18,Human face,0.81547636,,,19.376552083333333,72.8226953125
2024-09-29 14:47:18,Human face,0.8159047,,,19.3765625,72.8226875
2024-09-29 14:47:18,Human face,0.806206,,,19.376552083333333,72.8226953125
2024-09-29 14:47:18,Human face,0.7813198,,,19.376541666666668,72.822703125
2024-09-29 14:47:18,Man,0.30042666,,,19.376458333333332,72.8226953125
2024-09-29 14:47:19,Human face,0.7573624,,,19.376541666666668,72.822703125
2024-09-29 14:47:19,Human face,0.7586204,,,19.376552083333333,72.822703125
